energy,max,risetime,MED,RMS-DS,kurtosis
1017734522,5236.485976,3.31E-10,1.43E-08,7.96E-16,52.92769836
1506461680,6849.449019,2.89E-10,1.36E-08,7.64E-16,68.56650375
624133123.5,4269.464783,3.72E-10,1.62E-08,8.80E-16,58.37826061
414675316.9,4567.968724,4.13E-10,1.82E-08,1.04E-15,105.6806194
175729203.2,2166.033497,3.72E-10,2.06E-08,1.38E-15,68.1242252
1664576744,6294.26587,2.48E-10,1.39E-08,7.31E-16,64.45548192
1170433549,5770.263769,3.31E-10,1.39E-08,7.67E-16,77.91702607
637502050.3,4629.85035,4.55E-10,1.66E-08,9.25E-16,67.45421145
582353054.2,3680.792043,3.31E-10,1.56E-08,8.93E-16,57.69896303
1385240947,5878.370633,3.31E-10,1.48E-08,7.48E-16,55.47928621
997446491.7,5718.219973,3.31E-10,1.50E-08,8.71E-16,80.17838482
424905604.8,4446.436878,3.31E-10,1.71E-08,1.03E-15,104.0573882
1283636226,6492.905933,3.31E-10,1.35E-08,8.11E-16,81.15062563
302918427.1,2502.066835,3.31E-10,2.02E-08,1.12E-15,32.97169377
2073882569,7636.511391,3.31E-10,1.20E-08,7.37E-16,63.90727392
2085236104,7352.923331,2.89E-10,1.20E-08,7.37E-16,64.33955421
1094110313,5543.402146,3.72E-10,1.55E-08,7.39E-16,54.06696075
1101285086,5361.635871,4.55E-10,1.57E-08,7.92E-16,50.5500528
1056120412,5230.652328,2.48E-10,1.46E-08,7.28E-16,55.04819073
868038989.2,6069.309752,4.55E-10,1.50E-08,8.85E-16,95.44668853
1953765345,6423.493957,3.72E-10,1.36E-08,6.90E-16,55.53476646
1148590009,5722.084133,3.72E-10,1.47E-08,8.01E-16,63.77051079
2108738518,7985.200162,2.89E-10,1.30E-08,7.14E-16,67.87728202
2384255625,7625.352181,2.48E-10,1.26E-08,7.15E-16,62.14116667
1969850364,7269.182122,3.31E-10,1.43E-08,7.37E-16,59.56306641
2644361767,6059.721346,2.48E-10,1.41E-08,7.53E-16,42.03994946
1049408089,5475.117903,4.55E-10,1.62E-08,8.85E-16,65.63714201
3107936540,7205.805383,3.31E-10,1.18E-08,7.01E-16,38.50620909
4435728259,8081.487206,4.13E-10,1.33E-08,7.06E-16,34.81434876
2842879237,7638.895561,4.55E-10,1.06E-08,7.73E-16,53.25131052
2192147092,6548.545678,3.31E-10,1.41E-08,7.65E-16,48.68620003
1312397926,5992.821346,3.31E-10,1.37E-08,8.80E-16,77.26285146
1227033996,6859.674975,3.72E-10,1.32E-08,9.43E-16,100.42071
657755165.9,5237.987978,4.13E-10,1.56E-08,1.02E-15,123.3422954
479611850.8,3984.175756,4.13E-10,1.76E-08,1.11E-15,84.05245975
231496933.2,2973.945273,2.48E-10,2.33E-08,1.35E-15,74.7809772
1349607883,6401.808394,3.31E-10,1.45E-08,8.70E-16,82.53972702
1123008554,5877.150358,2.89E-10,1.43E-08,8.88E-16,77.6697717
574469481.4,3989.391289,3.31E-10,1.73E-08,9.71E-16,64.67170998
1174993160,7251.586513,3.67E-10,1.44E-08,9.09E-16,109.7973071
548201587.1,4695.666031,3.31E-10,1.64E-08,1.06E-15,86.25447542
307075897.1,4028.532985,4.55E-10,2.20E-08,1.33E-15,112.4960832
1286281772,6007.726328,4.55E-10,1.45E-08,8.24E-16,73.76038925
962306589.8,5981.362169,4.91E-10,1.28E-08,9.23E-16,86.11927245
1338859973,6708.850417,2.48E-10,1.27E-08,8.40E-16,89.99413282
1164468482,6896.936412,2.89E-10,1.58E-08,9.90E-16,112.2712972
1057223544,5700.28053,4.55E-10,1.81E-08,9.32E-16,61.16257588
698889640.9,4567.1875,4.13E-10,1.76E-08,1.01E-15,53.9676137
1773655448,7229.140798,2.48E-10,1.52E-08,8.42E-16,78.4364523
908637415,5640.472502,4.55E-10,1.65E-08,9.13E-16,62.3417285
974729933.3,5858.431961,3.31E-10,1.57E-08,9.16E-16,96.5650815
1473813390,6549.951344,2.07E-10,1.55E-08,9.19E-16,75.11259285
793389280,5048.5181,3.31E-10,1.99E-08,9.72E-16,56.95125075
935681378.2,5455.264174,3.31E-10,1.78E-08,9.11E-16,73.16769584
702091374.5,4013.568437,3.31E-10,1.82E-08,9.70E-16,47.53407842
775695766.3,5278.847797,2.48E-10,1.80E-08,9.56E-16,69.86844766
1166585981,6488.929043,2.89E-10,1.52E-08,9.32E-16,101.6128385
1015127979,5647.775059,2.48E-10,1.59E-08,9.09E-16,81.56687879
1061036370,5767.280136,3.31E-10,1.57E-08,8.93E-16,71.4707328
1187040807,6360.467795,2.07E-10,1.37E-08,8.33E-16,100.4418592
716841553,4510.637307,3.31E-10,1.71E-08,9.79E-16,82.66430489
708007920.2,5406.984101,4.55E-10,1.82E-08,1.03E-15,100.3829498
878339084.6,5838.434978,4.55E-10,1.79E-08,9.89E-16,81.55460767
1551837677,6108.110482,2.48E-10,1.50E-08,8.25E-16,68.28032145
